,MH,LSH,band,TP_mean,TP_1SE,TN_mean,TN_1SE,FP_mean,FP_1SE,FN_mean,FN_1SE,Accuracy_mean,Acc_1SE,Precision_mean,Prec_1SE,Recall_mean,Recall_1SE,F1_mean,F1_1SE,SIM_t
0,600,1,300,127469.6,2758.482,80139.4,327.885,18.4,8.687,291872.6,2866.687,0.42,0.006,1.0,0.0,0.3,0.007,0.47,0.008,0.057999999999999996
1,600,1,200,2451.0,160.851,265795.0,1666.826,0.2,0.2,231253.8,1587.064,0.54,0.003,1.0,0.0,0.010479,0.000654,0.020738,0.00128,0.171
2,600,1,150,77.8,6.719,414433.6,1347.672,0.0,0.0,84988.6,1350.253,0.83,0.003,1.0,0.0,0.000917,8.5e-05,0.001833,0.00017,0.28600000000000003
3,600,1,100,2.2,0.2,490812.2,277.088,0.0,0.0,8685.6,277.08,0.98,0.001,1.0,0.0,0.000254,2.3e-05,0.000508,4.7e-05,0.46399999999999997
4,600,1,50,2.0,0.0,499407.6,1.72,0.0,0.0,90.4,1.72,1.0,0.0,1.0,0.0,0.021675,0.000405,0.042429,0.000775,0.722
5,600,1,30,2.0,0.0,499493.5,0.645,0.0,0.0,4.5,0.645,1.0,0.0,1.0,0.0,0.32,0.032,0.48,0.037,0.8440000000000001
6,600,3,300,410194.0,1614.392,59155.8,1877.955,20037.6,1740.122,10112.6,1451.379,0.94,0.001,0.95,0.004,0.98,0.003,0.96,0.001,0.057999999999999996
7,600,3,200,213350.8,992.707,206171.8,3163.943,62670.4,3906.789,17307.0,886.796,0.84,0.006,0.77,0.011,0.93,0.004,0.84,0.005,0.171
8,600,3,150,6250.2,360.166,414661.4,634.486,131.4,22.787,78457.0,539.885,0.84,0.001,0.98,0.002,0.07,0.004,0.14,0.007,0.28600000000000003
9,600,3,100,352.75,33.51,491383.5,308.381,23.25,7.341,7740.5,273.324,0.98,0.001,0.94,0.016,0.04,0.003,0.08,0.005,0.46399999999999997
10,600,3,50,2.0,0.0,499407.5,3.175,0.0,0.0,90.5,3.175,1.0,0.0,1.0,0.0,0.02,0.001,0.04,0.002,0.722
11,600,3,30,2.0,0.0,499493.83,0.401,0.0,0.0,4.17,0.401,1.0,0.0,1.0,0.0,0.33,0.023,0.5,0.025,0.8440000000000001
0,600,5,300,409038.0,1143.087,61052.0,828.409,18521.0,781.6,10889.0,824.93,0.94,0.001,0.96,0.002,0.97,0.002,0.97,0.001,0.057999999999999996
0,600,5,200,210291.0,1122.959,216704.57,594.848,51404.0,1152.937,21100.43,733.962,0.85,0.001,0.8,0.004,0.91,0.003,0.85,0.002,0.171
0,600,5,150,58426.5,1299.055,384587.25,1911.39,28608.75,1506.528,27877.5,885.774,0.89,0.001,0.67,0.007,0.68,0.012,0.67,0.003,0.28600000000000003
0,600,5,100,563.6,31.101,490894.8,345.241,46.6,4.792,7995.0,319.984,0.98,0.001,0.92,0.005,0.07,0.002,0.12,0.004,0.46399999999999997
0,600,5,50,2.25,0.25,499406.5,2.901,0.0,0.0,91.25,3.065,1.0,0.0,1.0,0.0,0.02,0.003,0.05,0.006,0.722
0,600,5,30,2.17,0.167,499494.17,0.601,0.0,0.0,3.67,0.667,1.0,0.0,1.0,0.0,0.39,0.055,0.56,0.055,0.8440000000000001
