#songs,#MHfuncs,#LSHfuncs,#bands,mMH,mLSH,pMH,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,threshold
1000,400,1,50,20117,20117,338563,2,498770,0,728,0.998542543,1,0.002739726,0.005464481,0.613
1000,400,2,50,20117,20117,338563,3,498814,0,683,0.998632633,1,0.004373178,0.008708273,0.613
1000,400,5,50,20117,20117,338563,48,498716,7,729,0.998526527,0.872727273,0.061776062,0.115384615,0.613
1000,400,8,50,20117,20117,338563,662,494232,4515,91,0.990778779,0.127873286,0.879150066,0.223271501,0.613
1000,400,10,50,20117,20117,338563,526,496842,1815,317,0.995731732,0.224690303,0.62396204,0.33040201,0.613
1000,400,1,100,20117,20117,338563,60,429669,0,69771,0.860318318,1,0.000859217,0.001716959,0.316
1000,400,2,100,20117,20117,338563,3622,439550,140,56188,0.887231231,0.962785752,0.060558435,0.113949538,0.316
1000,400,5,100,20117,20117,338563,41377,409306,24135,24682,0.902268268,0.631594212,0.626364311,0.62896839,0.316
1000,400,8,100,20117,20117,338563,49775,388281,54539,6905,0.876988989,0.477165098,0.878175723,0.618346025,0.316
1000,400,10,100,20117,20117,338563,52145,391503,45821,10031,0.888184184,0.532276504,0.838667653,0.651234529,0.316
1000,400,1,200,20117,20117,338563,97544,104617,3,297336,0.404726727,0.999969246,0.24702188,0.396176489,0.071
1000,400,2,200,20117,20117,338563,382400,77616,25772,13712,0.920952953,0.936859951,0.965383528,0.950907888,0.071
1000,400,5,200,20117,20117,338563,380737,79842,24778,14143,0.92208008,0.938897451,0.964184056,0.95137276,0.071
1000,400,8,200,20117,20117,338563,385181,77215,23610,13494,0.925717718,0.942244325,0.966152881,0.954048839,0.071
1000,400,10,200,20117,20117,338563,388357,73449,25353,12341,0.924536537,0.938717943,0.969201244,0.953716074,0.071
