#songs,#MHfuncs,#LSHfuncs,band,mMH,mLSH,pMH,TP,TN,FP,FN,LSH_Accuracy,LSH_Precision,LSH_Recall,LSH_F1,MH_Accuracy,MH_Precision,MH_Recall,MH_F1,threshold
1000,600,1,300,20117,20117,338563,120396,80533,17,298554,0.40226026,0.999858819,0.287375582,0.446437742,0.978418418,0.989908104,0.984447177,0.987170088,0.058
1000,600,1,300,20117,20117,338563,130299,80057,2,289142,0.421133133,0.999984651,0.310649174,0.474036912,0.974084084,0.986753799,0.982460346,0.984602392,0.058
1000,600,1,300,20117,20117,338563,130662,81066,50,287722,0.42387988,0.99961748,0.312301618,0.47591678,0.974246246,0.988080328,0.981301955,0.984679477,0.058
1000,600,1,300,20117,20117,338563,121538,79094,3,298865,0.401665666,0.999975317,0.289098793,0.448526047,0.977731732,0.987806938,0.985764609,0.986784717,0.058
1000,600,1,300,20117,20117,338563,134453,79947,20,285080,0.429229229,0.999851271,0.320482537,0.485384635,0.979341341,0.989776728,0.985686275,0.987727267,0.058
1000,600,1,200,20117,20117,338563,2030,270583,0,226887,0.545771772,1,0.008867843,0.017579791,0.953823824,0.965179519,0.936053211,0.950393262,0.171
1000,600,1,200,20117,20117,338563,2275,266642,1,230582,0.538372372,0.999560633,0.009769945,0.01935075,0.950536537,0.953782794,0.94092103,0.947308257,0.171
1000,600,1,200,20117,20117,338563,2294,262955,0,234251,0.531029029,1,0.009697943,0.019209593,0.962368368,0.959200152,0.96125233,0.960225145,0.171
1000,600,1,200,20117,20117,338563,2815,267556,0,229129,0.541283283,1,0.01213655,0.023982041,0.951563564,0.956674887,0.940073716,0.948301651,0.171
1000,600,1,200,20117,20117,338563,2841,261239,0,235420,0.528688689,1,0.011923899,0.023566789,0.959481481,0.952866814,0.96183274,0.957328785,0.171
1000,600,1,150,20117,20117,338563,67,413759,0,85674,0.82848048,1,0.000781423,0.001561626,0.972246246,0.910462906,0.926575668,0.918448624,0.286
1000,600,1,150,20117,20117,338563,68,410724,0,88708,0.822406406,1,0.000765973,0.001530773,0.973861862,0.900975489,0.949376855,0.924543132,0.286
1000,600,1,150,20117,20117,338563,69,414172,0,85259,0.829311311,1,0.000808644,0.001615982,0.972068068,0.911928089,0.923596439,0.917725177,0.286
1000,600,1,150,20117,20117,338563,83,419128,0,80289,0.839261261,1,0.001032698,0.002063265,0.970002002,0.930908774,0.888059347,0.908979359,0.286
1000,600,1,150,20117,20117,338563,102,414385,0,85013,0.829803804,1,0.001198379,0.002393889,0.971073073,0.910039359,0.919382789,0.914687214,0.286
1000,600,1,100,20117,20117,338563,2,489876,0,9622,0.980736737,1,0.000207814,0.000415541,0.994856857,0.817331671,0.906534517,0.859625157,0.464
1000,600,1,100,20117,20117,338563,2,491611,0,7887,0.98421021,1,0.000253518,0.000506907,0.995339339,0.902395741,0.820444854,0.859471206,0.464
1000,600,1,100,20117,20117,338563,2,490878,0,8620,0.982742743,1,0.000231965,0.000463822,0.995309309,0.867316168,0.861818601,0.864558645,0.464
1000,600,1,100,20117,20117,338563,2,490932,0,8566,0.982850851,1,0.000233427,0.000466744,0.995057057,0.862278245,0.851446352,0.856828066,0.464
1000,600,1,100,20117,20117,338563,3,490764,0,8733,0.982516517,1,0.000343407,0.000686577,0.995445445,0.866414835,0.872306097,0.869350485,0.464
1000,600,1,50,20117,20117,338563,2,499403,0,95,0.99980981,1,0.020618557,0.04040404,0.999953954,0.855670103,0.902173913,0.878306878,0.722
1000,600,1,50,20117,20117,338563,2,499407,0,91,0.999817818,1,0.021505376,0.042105263,0.999953954,0.870967742,0.880434783,0.875675676,0.722
1000,600,1,50,20117,20117,338563,2,499411,0,87,0.999825826,1,0.02247191,0.043956044,0.999937938,0.842696629,0.815217391,0.828729282,0.722
1000,600,1,50,20117,20117,338563,2,499405,0,93,0.999813814,1,0.021052632,0.041237113,0.999933934,0.810526316,0.836956522,0.823529412,0.722
1000,600,1,50,20117,20117,338563,2,499412,0,86,0.999827828,1,0.022727273,0.044444444,0.999955956,0.897727273,0.858695652,0.877777778,0.722
1000,600,1,30,20117,20117,338563,2,499492,0,6,0.999987988,1,0.25,0.4,0.999993994,0.625,1,0.769230769,0.844
1000,600,1,30,20117,20117,338563,2,499494,0,4,0.999991992,1,0.333333333,0.5,0.999997998,0.833333333,1,0.909090909,0.844
1000,600,1,30,20117,20117,338563,2,499493,0,5,0.99998999,1,0.285714286,0.444444444,0.999991992,0.571428571,0.8,0.666666667,0.844
1000,600,1,30,20117,20117,338563,2,499495,0,3,0.999993994,1,0.4,0.571428571,0.999995996,0.8,0.8,0.8,0.844
